P_NAME,P_HABITABLE,P_ESI,P_TYPE_COMP,P_TYPE_TEMP,P_DISTANCE_LY,P_MASS_EM,P_RADIUS,P_ORBIT_PERIOD_DAYS,P_TEMP_EQUIL_K,P_DISTANCE_STAR_AU,S_NAME,S_TYPE,S_MASS_SM,S_RADIUS,S_TEMPERATURE_K,S_LUMINOSITY
Kepler-1510 b,0,0.27974962,Neptunian,Hot,,,3.363,84.703921,488.91492,0.39990875,Kepler-1510,F,1.19,1.28,6200,2.1690789
Kepler-1511 b,0,0.28929808,Superterran,Hot,,,1.6815,23.238279,740.88483,0.16789619,Kepler-1511,F,1.17,1.29,6064,2.0160664
Kepler-1512 b,0,0.43855689,Terran,Hot,,,1.17705,20.359726,435.2132,0.1313606,Kepler-1512,K,0.73,0.67,4372,0.14694637
Kepler-1513 b,0,0.3641088,Jovian,Hot,,,8.46355,160.88465,321.05184,0.57685198,Kepler-1513,G,0.99,0.97,5617,0.83916973
Kepler-1514 b,0,0.28267987,Jovian,Hot,,,11.82655,217.83176,350.28408,0.75483526,Kepler-1514,F,1.21,1.22,6251,2.0361338
Kepler-1515 b,0,0.2468817,Jovian,Hot,,,9.55092,214.31142,389.68516,0.76475251,Kepler-1515,F,1.3,1.41,6511,3.2012357
Kepler-1516 b,0,0.27314733,Superterran,Hot,,,1.74876,7.2593198,987.40729,0.074322097,Kepler-1516,G,1.04,1.07,5904,1.2463545
Kepler-1517 b,0,0.088837066,Jovian,Hot,,,9.76391,5.5460837,1614.7029,0.071403505,Kepler-1517,F,1.58,1.95,7010,8.2267811
Kepler-1518 b,0,0.20831814,Neptunian,Hot,,,3.04912,5.111779,1597.8425,0.067049855,Kepler-1518,F,1.54,1.88,6846,6.9558775
Kepler-1519 b,0,0.45706877,Jovian,Warm,,,7.0623,240.79894,275.52678,0.74185994,Kepler-1519,G,0.94,0.91,5644,0.75286906
Kepler-152 b,0,0.27757069,Neptunian,Hot,,,2.79129,18.207973,540.40527,0.124,Kepler-152,K,,0.72,5088,0.31127343
Kepler-152 c,0,0.58448728,Superterran,Hot,,,2.38773,88.255055,318.93738,0.356,Kepler-152,K,,0.72,5088,0.31127343
Kepler-1520 b,0,0.13591558,Neptunian,Hot,,,5.77315,0.65355357,1497.9461,0.013447293,Kepler-1520,K,0.76,0.71,4677,0.21610998
Kepler-1521 b,0,0.41344282,Superterran,Hot,,,2.49983,47.148408,397.102,0.23803963,Kepler-1521,K,0.81,0.76,5042,0.33444692
Kepler-1522 b,0,0.26963299,Superterran,Hot,,,1.72634,1.8478892,1422.651,0.029065909,Kepler-1522,G,0.96,0.93,5706,0.82145091
Kepler-1523 b,0,0.27575976,Superterran,Hot,,,1.58061,0.93875077,1808.9914,0.018569505,Kepler-1523,G,0.97,0.96,5708,0.87653037
Kepler-1524 b,0,0.25977177,Neptunian,Hot,,,3.54236,70.96746,512.21397,0.35340908,Kepler-1524,F,1.17,1.25,6179,2.0407108
Kepler-1525 b,0,0.29380411,Terran,Hot,,,0.90801,2.4166012,1361.0166,0.036039116,Kepler-1525,G,1.07,1.04,5748,1.0578458
Kepler-1526 b,0,0.24668157,Superterran,Hot,,,2.43257,3.908632,805.70675,0.043715323,Kepler-1526,K,0.73,0.69,4601,0.19115944
Kepler-1527 b,0,0.31123569,Neptunian,Hot,,,4.77546,160.12992,401.97321,0.61482714,Kepler-1527,F,1.21,1.32,6224,2.3426901
Kepler-1528 b,0,0.2818078,Terran,Hot,,,1.4573,1.7911102,1534.7671,0.029143172,Kepler-1528,G,1.03,1.03,5857,1.1185721
Kepler-1529 b,0,0.26175847,Superterran,Hot,,,2.09627,5.3390569,827.16342,0.055716127,Kepler-1529,K,0.81,0.77,5048,0.34494312
Kepler-153 b,0,0.24618688,Neptunian,Hot,,,2.92581,18.870227,625.6516,0.129,Kepler-153,G,,0.89,5404,0.60524334
Kepler-153 c,0,0.33761903,Neptunian,Hot,,,2.53346,46.90232,461.58665,0.237,Kepler-153,G,,0.89,5404,0.60524334
Kepler-1530 b,0,0.2754019,Superterran,Hot,,,1.63666,2.5904434,1195.337,0.035893975,Kepler-1530,G,0.92,0.88,5477,0.62434545
Kepler-1530 c,0,0.27939794,Superterran,Hot,,,1.64787,5.3227406,940.23548,0.058013495,Kepler-1530,G,0.92,0.88,5477,0.62434545
Kepler-1531 b,0,0.29225617,Terran,Hot,,,1.10979,1.1385434,2076.8843,0.022416197,Kepler-1531,F,1.16,1.27,6260,2.2191846
Kepler-1532 b,0,0.28612902,Terran,Hot,,,1.3452,1.0936636,1620.1883,0.020127006,Kepler-1532,G,0.91,0.88,5559,0.66258361
