P_NAME,P_HABITABLE,P_ESI,P_TYPE_COMP,P_TYPE_TEMP,P_DISTANCE_LY,P_MASS_EM,P_RADIUS,P_ORBIT_PERIOD_DAYS,P_TEMP_EQUIL_K,P_DISTANCE_STAR_AU,S_NAME,S_TYPE,S_MASS_SM,S_RADIUS,S_TEMPERATURE_K,S_LUMINOSITY
HD 169830 c,0,0.30543598,Jovian,Cold,,1284.0251,,2102,191.89936,3.79602,HD 169830,F,1.4,,6299,4.2904507
HD 170469 b,0,0.28770068,Jovian,Cold,,209.76648,,1145,191.44144,2.253552,HD 170469,G,1.1,1.24,5842,1.6046423
HD 17092 b,0,0.10165605,Jovian,Hot,,3219.5977,,359.89999,612.81199,1.3289295,HD 17092,K,6.73,13.58,4326,57.867437
HD 171028 b,0,0.2584284,Jovian,Hot,,832.70937,,550,333.76903,1.549746,HD 171028,G,1.53,2.47,5671,5.6535488
HD 171238 b,0,0.18039668,Jovian,Cold,,864.49217,,1532,149.7965,2.6403615,HD 171238,G,0.96,1.01,5440,0.8004367
HD 17156 b,0,0.079694715,Jovian,Hot,,1115.5763,12.331,21.21663,781.70083,0.20702787,HD 17156,G,1.41,1.55,6040,2.8648362
HD 173416 b,0,0.085409347,Jovian,Hot,,858.13561,,323.6,702.21122,1.185578,HD 173416,G,2,13.5,4683,78.533113
HD 175167 b,0,0.36739892,Jovian,Warm,,2850.9172,,1290,207.92203,2.74992,HD 175167,G,1.37,1.75,5635,2.7665621
HD 175541 b,0,0.15291215,Jovian,Hot,,190.06115,,298.43,457.70956,0.98089875,HD 175541,G,1.39,4.19,5013,9.9336193
HD 175607 b,0,0.29640817,Superterran,Hot,,8.9786411,,29.01,489.44744,0.16579843,HD 175607,G,0.71,0.7,5392,0.37109428
HD 17674 b,0,0.38043635,Jovian,Warm,,276.51036,,623.8,236.9733,1.431999,HD 17674,G,0.98,1.18,5904,1.5157866
HD 176986 b,0,0.25779027,Superterran,Hot,,5.7399737,,6.4898,764.8013,0.063097127,HD 176986,K,0.79,0.78,4931,0.3222685
HD 176986 c,0,0.26244881,Superterran,Hot,,9.1788727,,16.8191,556.53458,0.11951174,HD 176986,K,0.79,0.78,4931,0.3222685
HD 177830 b,0,0.24984496,Jovian,Hot,,537.12932,,410.10001,365.07826,1.1457,HD 177830,K,1.7,3.26,4901,5.4936711
HD 177830 c,0,0.15374072,Neptunian,Hot,,47.6742,,110.9,541.06818,0.5368165,HD 177830,K,1.7,3.26,4901,5.4936711
HD 178911 B b,0,0.17461333,Jovian,Hot,,2552.1589,,71.484,438.64824,0.342057,HD 178911 B,G,1.24,1.08,5588,1.0189708
HD 179079 b,0,0.14747969,Neptunian,Hot,,25.744068,,14.479,911.75296,0.12154574,HD 179079,G,1.14,1.63,5646,2.4189526
HD 179949 b,0,0.066107006,Jovian,Hot,,291.13045,,3.092514,1432.4937,0.044310721,HD 179949,F,1.21,,6168,1.9617844
HD 180053 b,0,0.13463734,Jovian,Hot,,697.31464,,213.72,496.12364,0.84576546,HD 180053,K,1.75,4.06,5131,10.236436
HD 18015 b,0,0.36553244,Jovian,Warm,,1010.693,,2278,221.79734,3.9123842,HD 18015,G,1.49,3.13,5603,8.6508705
HD 180314 b,0,0.13212766,Jovian,Hot,,6397.8777,,396.03,509.95877,1.509348,HD 180314,K,2.2,8.13,4924,34.813037
HD 180617 b,0,0.42777268,Neptunian,Warm,,12.201417,,105.9,181.23074,0.33999696,HD 180617,M,0.45,0.45,3557,0.029043512
HD 180902 b,0,0.23411137,Jovian,Hot,,535.54018,,510.9,376.6667,1.4080143,HD 180902,K,1.41,4.16,4961,9.3918731
HD 181234 b,0,0.09338156,Jovian,Cold,,2660.2204,,7462.0575,85.259992,9.523704,HD 181234,G,1.01,1.05,5386,0.83125188
HD 181342 b,0,0.23876025,Jovian,Hot,,807.28313,,564.1,374.89456,1.5923853,HD 181342,K,1.69,4.71,4945,11.884903
HD 181433 b,0,0.25817357,Superterran,Hot,,6.3565601,,9.3743,674.11209,0.0864,HD 181433,K,0.63,0.79,4918,0.32711234
HD 181433 c,0,0.16495471,Jovian,Cold,,203.40992,,962,144.50698,1.828992,HD 181433,K,0.63,0.79,4918,0.32711234
HD 181433 d,0,0.10542585,Jovian,Cold,,171.62712,,2172,109.54099,3.3456,HD 181433,K,0.63,0.79,4918,0.32711234
HD 181720 b,0,0.3701841,Jovian,Warm,,127.1312,,956,226.68203,1.91253,HD 181720,G,1.03,1.5,5736,2.1822662
HD 183263 b,0,0.39013775,Jovian,Warm,,1255.4206,,626.51599,236.21148,1.586552,HD 183263,G,1.31,1.23,5948,1.6966127
HD 183263 c,0,0.15577071,Jovian,Cold,,1134.646,,3070,138.90611,4.4742382,HD 183263,G,1.31,1.23,5948,1.6966127
HD 185269 b,0,0.066686777,Jovian,Hot,,321.00628,,6.83776,1326.1257,0.079018979,HD 185269,G,1.3,2,5923,4.4107817
HD 187085 b,0,0.33797713,Jovian,Warm,,265.70421,,1019.74,208.83738,2.166151,HD 187085,G,1.19,1.27,6117,2.0232521
HD 18742 b,0,0.25232496,Jovian,Hot,,1080.6152,,766,365.53045,1.821456,HD 18742,G,1.36,5.13,4940,14.042071
HD 188015 b,0,0.37956156,Jovian,Warm,,476.742,,461.2,233.90765,1.2142896,HD 188015,G,1.09,,5746,1.0331834
HD 189733 b,0,0.073372738,Jovian,Hot,,359.14564,12.6673,2.2185757,1099.4117,0.030768152,HD 189733,K,0.79,0.75,5052,0.32829521
HD 190360 b,0,0.13768677,Jovian,Cold,,489.45512,,2915.0369,130.33037,4.1607585,HD 190360,G,0.99,1.14,5552,1.1063593
HD 190360 c,0,0.17711625,Neptunian,Hot,,19.06968,,17.111,720.99493,0.13406222,HD 190360,G,0.99,1.14,5552,1.1063593
HD 190647 b,0,0.3063535,Jovian,Warm,,630.88859,,1176.45,195.45001,2.2869713,HD 190647,G,1.07,1.38,5656,1.7461616
HD 190984 b,0,0.16836697,Jovian,Cold,,985.26681,,4885,136.128,6.393475,HD 190984,F,0.91,1.53,5988,2.6964891
HD 191806 b,0,0.21648206,Jovian,Cold,,2707.8946,,1606.3,161.67186,2.8939134,HD 191806,K,1.14,,6010,1.2932759
HD 192263 b,0,0.13563506,Jovian,Hot,,177.98368,,24.3556,487.07938,0.1501875,HD 192263,K,0.66,0.74,4976,0.30079705
HD 192310 b,0,0.38008425,Neptunian,Hot,,16.90845,,74.72,364.63479,0.322704,HD 192310,K,0.8,,5166,0.43151514
HD 192310 c,0,0.39954602,Neptunian,Warm,,24.154928,,525.8,188.84007,1.240416,HD 192310,K,0.8,,5166,0.43151514
HD 192699 b,0,0.16051741,Jovian,Hot,,666.16749,,340.94,452.3802,1.0665738,HD 192699,G,1.38,4.41,5041,11.252075
HD 195019 b,0,0.078576785,Jovian,Hot,,1264.9555,,18.20132,824.18472,0.140007,HD 195019,G,1.21,1.48,5751,2.1467701
HD 196050 b,0,0.30506429,Jovian,Warm,,1010.693,,1378,194.25458,2.5763895,HD 196050,G,1.31,1.42,5879,2.1581378
HD 196067 b,0,0.22537793,Jovian,Cold,,2193.0132,,3638,150.91061,6.113356,HD 196067,G,1.29,1.73,6017,3.5148023
HD 196885 b,0,0.34296867,Jovian,Warm,,819.99625,,1333,201.81552,2.643024,HD 196885,F,1.28,1.31,6254,2.3521377
HD 197037 b,0,0.30697572,Jovian,Warm,,251.08412,,1035.7,196.95033,2.120094,HD 197037,F,1.11,,6150,1.5492157
HD 20003 b,0,0.20749657,Neptunian,Hot,,11.664288,,11.8482,756.92074,0.10371152,HD 20003,G,0.88,,5494,0.7644089
HD 20003 c,0,0.2359712,Neptunian,Hot,,14.429391,,33.9239,537.19682,0.197382,HD 20003,G,0.88,,5494,0.7644089
HD 200964 b,0,0.21877481,Jovian,Hot,,508.20698,,606.3,389.17084,1.5709227,HD 200964,G,1.39,4.92,4982,13.360839
HD 200964 c,0,0.27078723,Jovian,Hot,,385.8432,,852.5,346.61447,2.017868,HD 200964,G,1.39,4.92,4982,13.360839
HD 202206 c,0,0.22794467,Jovian,Cold,,5689.1213,,1260,165.46976,2.468322,HD 202206,G,1.27,1.03,5760,1.0462923
HD 202696 b,0,0.16238754,Jovian,Hot,,634.38469,,517.8,450.14656,1.5660947,HD 202696,K,1.91,6.43,5040,23.901917
HD 202696 c,0,0.24689572,Jovian,Hot,,592.4314,,946.6,368.07671,2.3429181,HD 202696,K,1.91,6.43,5040,23.901917
HD 202772 A b,0,0.053319839,Jovian,Hot,,323.23108,17.31945,3.308958,1949.388,0.052117602,HD 202772 A,F,1.72,2.59,6272,9.3006301
HD 203473 b,0,0.26166214,Jovian,Cold,,2479.0584,,1552.9,176.87649,2.8440062,HD 203473,G,1.12,1.33,5780,1.7689
HD 2039 b,0,0.34324862,Jovian,Cold,,1999.1381,,1120,185.70742,2.75451,HD 2039,G,1.23,1.19,5945,1.5848567
HD 204313 b,0,0.18673585,Jovian,Cold,,1099.6849,,1920.1,152.06906,3.1512015,HD 204313,G,1.03,1.1,5783,1.2125141
HD 204313 c,0,0.20619824,Neptunian,Hot,,17.575889,,34.905,582.64502,0.21242142,HD 204313,G,1.03,1.1,5783,1.2125141
HD 204941 b,0,0.14360997,Jovian,Cold,,73.100441,,1733,121.43859,2.7245475,HD 204941,K,0.58,0.78,5026,0.3478306
HD 205739 b,0,0.29562642,Jovian,Hot,,435.42436,,279.8,330.12453,0.9286592,HD 205739,F,1.22,1.33,6176,2.305797
HD 206610 b,0,0.20695505,Jovian,Hot,,647.09781,,673.2,400.00993,1.7487,HD 206610,K,1.55,6.12,4842,18.445508
HD 20781 b,0,0.29662283,Terran,Hot,,1.9387508,,5.3135,956.96682,0.0531645,HD 20781,K,0.7,,5256,0.55848037
HD 20781 c,0,0.26976715,Superterran,Hot,,5.3395104,,13.8905,694.71983,0.10080662,HD 20781,K,0.7,,5256,0.55848037
HD 20781 d,0,0.25688722,Neptunian,Hot,,10.615455,,29.158,542.27626,0.16569644,HD 20781,K,0.7,,5256,0.55848037
HD 20781 e,0,0.37487557,Neptunian,Hot,,14.047998,,85.5073,379.0762,0.33800732,HD 20781,K,0.7,,5256,0.55848037
HD 20782 b,0,0.33880095,Jovian,Warm,,472.8645,,597.0643,211.78365,1.9808111,HD 20782,G,1.07,1.11,5790,1.2406488
HD 207832 b,0,0.32796948,Jovian,Hot,,177.98368,,160.07,310.27741,0.59737104,HD 207832,G,1.05,0.89,5726,0.76291128
HD 207832 c,0,0.21319459,Jovian,Cold,,232.01444,,1155.7,163.07902,2.1889824,HD 207832,G,1.05,0.89,5726,0.76291128
HD 20794 b,0,0.30366685,Terran,Hot,,2.701538,,18.315,710.16959,0.1207,HD 20794,G,0.7,,5401,0.87959589
HD 20794 c,0,0.34762577,Terran,Hot,,2.4154928,,40.114,546.79788,0.2036,HD 20794,G,0.7,,5401,0.87959589
HD 20794 d,0,0.41425892,Terran,Hot,,4.76742,,90.309,417.10341,0.3499,HD 20794,G,0.7,,5401,0.87959589
HD 20794 e,0,0.53678213,Terran,Hot,,4.7705983,,147.02,343.97038,0.53040345,HD 20794,G,0.7,,5401,0.87959589
HD 208487 b,0,0.19507975,Jovian,Hot,,165.27056,,130.08,403.6054,0.5390912,HD 208487,G,1.13,,6067,1.7549424
HD 208527 b,0,0.07894696,Jovian,Hot,,3146.4972,,875.5,876.97534,2.10672,HD 208527,M,1.6,51.1,4035,620.16122
HD 20868 b,0,0.33613188,Jovian,Cold,,397.285,,380.85001,181.45703,1.2171875,HD 20868,K,0.39,0.76,4802,0.27517214
HD 208897 b,0,0.150054,Jovian,Hot,,444.9592,,352.7,466.38029,1.0525725,HD 208897,K,1.25,4.98,4860,12.396309
HD 209458 b,0,0.05980445,Jovian,Hot,,232.01444,15.5819,3.5247486,1329.1198,0.04855456,HD 209458,F,1.23,1.19,6091,1.7463728
HD 210277 b,0,0.38740073,Jovian,Warm,,409.99812,,442.19,233.90571,1.260176,HD 210277,G,1.01,1.07,5538,0.96486823
HD 210702 b,0,0.16089613,Jovian,Hot,,574.63303,,354.1,451.75222,1.14845,HD 210702,K,1.61,4.92,4951,13.031384
HD 211810 b,0,0.24160539,Jovian,Cold,,212.94476,,1558,157.15031,3.2700672,HD 211810,G,1.03,1.13,5652,1.1674926
HD 212301 b,0,0.064079558,Jovian,Hot,,162.09228,,2.24571,1710.017,0.03,HD 212301,F,1.55,1.16,6239,1.8266888
HD 212771 b,0,0.15313511,Jovian,Hot,,759.60893,,380.7,463.89785,1.1934367,HD 212771,G,1.56,5.27,5003,15.589489
HD 213240 b,0,0.3908522,Jovian,Warm,,1773.4803,,882.70001,232.84726,2.056698,HD 213240,G,1.57,1.51,5979,2.6106987
HD 214823 b,0,0.34356916,Jovian,Warm,,6451.9085,,1854.4,207.47654,3.27349,HD 214823,G,1.31,2.04,5933,4.6200468
HD 215152 b,0,0.30654773,Terran,Hot,,1.8179762,,5.75999,774.1252,0.057638,HD 215152,K,0.77,0.73,4935,0.28319331
HD 215152 c,0,0.31291695,Terran,Hot,,1.7194495,,7.28243,715.90973,0.067393,HD 215152,K,0.77,0.73,4935,0.28319331
HD 215152 d,0,0.3165882,Terran,Hot,,2.8000647,,10.86499,626.54028,0.08799,HD 215152,K,0.77,0.73,4935,0.28319331
HD 215152 e,0,0.38559527,Terran,Hot,,2.8763434,,25.1967,473.33184,0.15417,HD 215152,K,0.77,0.73,4935,0.28319331
HD 215497 b,0,0.24246497,Superterran,Hot,,6.3565601,,3.93404,927.17726,0.05064,HD 215497,K,0.67,0.85,5110,0.44137741
HD 215497 c,0,0.29082278,Jovian,Cold,,104.88324,,567.94,180.47582,1.4359041,HD 215497,K,0.67,0.85,5110,0.44137741
HD 216435 b,0,0.33238519,Jovian,Warm,,400.46328,,1311,208.10311,2.566272,HD 216435,G,1.3,,5999,2.9211055
HD 216437 b,0,0.30561941,Jovian,Warm,,706.53165,,1334.28,193.07467,2.6224605,HD 216437,G,1.17,1.39,5909,2.1104458
HD 216536 b,0,0.074462591,Jovian,Hot,,333.7194,,148.60001,813.15416,0.654042,HD 216536,K,0.81,9.83,4639,40.095273
HD 216770 b,0,0.27730008,Jovian,Hot,,181.16196,,118.45,335.37673,0.491487,HD 216770,K,0.74,0.93,5399,0.65842734
HD 21693 b,0,0.25341842,Superterran,Hot,,8.2317453,,22.6786,616.19118,0.1465476,HD 21693,G,0.8,,5430,0.72707255
HD 21693 c,0,0.26389709,Neptunian,Hot,,17.385192,,53.7357,462.47889,0.25923357,HD 21693,G,0.8,,5430,0.72707255
HD 217107 b,0,0.072051151,Jovian,Hot,,413.1764,,7.12682,922.06934,0.080676,HD 217107,G,1,1.11,5622,1.1028031
HD 217107 c,0,0.11355428,Jovian,Cold,,826.35281,,4270,111.1657,6.0309887,HD 217107,G,1,1.11,5622,1.1028031
HD 21749 c,0,0.32551951,Terran,Hot,,3.699518,0.8968,7.78993,644.41731,0.0695,GJ 143,K,0.73,0.69,4640,0.19772371
HD 217786 b,0,0.31048694,Jovian,Cold,,4131.764,,1319,190.09543,2.5704,HD 217786,F,1.02,1.27,5966,1.8307502
HD 217850 b,0,0.16102601,Jovian,Cold,,6865.0849,,3501.3,120.44494,5.8842158,HD 217850,G,1.03,1.21,5544,1.239231
HD 218566 b,0,0.41774789,Jovian,Warm,,63.565601,,225.7,230.06965,0.72105,HD 218566,K,0.76,0.85,4730,0.32401944
HD 219077 b,0,0.1728231,Jovian,Cold,,3302.233,,5501,125.16938,8.063919,HD 219077,G,1.05,1.91,5362,2.7018586
HD 219134 b,0,0.28190859,Superterran,Hot,,4.7388155,1.60303,3.092926,929.1331,0.03876,HD 219134,K,0.81,0.78,4699,0.26576613
HD 219134 c,0,0.30011916,Superterran,Hot,,4.3606002,1.51335,6.76458,715.66335,0.065425507,HD 219134,K,0.81,0.78,4699,0.26576613
HD 219134 d,0,0.50873659,Neptunian,Hot,,16.171089,1.61424,46.859,375.29786,0.23925671,HD 219134,K,0.81,0.78,4699,0.26576613
HD 219134 f,0,0.3897355,Superterran,Hot,,7.3005092,1.31157,22.717,477.58383,0.14790228,HD 219134,K,0.81,0.78,4699,0.26576613
HD 219134 g,0,0.56494921,Neptunian,Hot,,10.806152,,94.2,298.59363,0.3753,HD 219134,K,0.81,0.78,4699,0.26576613
HD 219134 h,0,0.098375903,Jovian,Cold,,108.06152,,2247,103.70311,3.115598,HD 219134,K,0.81,0.78,4699,0.26576613
HD 219415 b,0,0.32778158,Jovian,Warm,,317.828,,2093.3,200.14562,3.456,HD 219415,K,1,2.9,4820,4.0669871
HD 219666 b,0,0.16215706,Neptunian,Hot,,16.600157,4.7082,6.03607,980.69329,0.06356,HD 219666,G,0.92,1.03,5527,0.88699456
HD 219828 b,0,0.15458348,Neptunian,Hot,,20.976648,,3.83492,1441.452,0.050958595,HD 219828,G,1.18,1.61,5807,2.6408741
HD 219828 c,0,0.19288878,Jovian,Cold,,4640.2888,,4682,128.17631,7.6903476,HD 219828,G,1.18,1.61,5807,2.6408741
HD 220074 b,0,0.077731589,Jovian,Hot,,5288.658,,672.09998,976.74869,1.61568,HD 220074,M,2.2,54.92,3787,555.81585
HD 220689 b,0,0.16614438,Jovian,Cold,,355.33171,,2266.4,146.46739,3.4009514,HD 220689,G,1.02,1.07,5921,1.2607717
HD 220773 b,0,0.15696791,Jovian,Cold,,460.8506,,3724.7,134.55201,5.582447,HD 220773,F,1.16,,5940,2.0365366
HD 220842 b,0,0.25922665,Jovian,Hot,,1010.693,,218.47,348.92275,0.80038992,HD 220842,F,1.13,,5960,2.0107215
HD 221287 b,0,0.39108807,Jovian,Warm,,982.08853,,456.1,263.74345,1.254,HD 221287,F,1.25,,6304,1.7974767
HD 221416 b,0,0.094471276,Jovian,Hot,,60.387321,9.37156,14.2767,1094.6998,0.12361201,HD 221416,K,1.21,2.94,5080,5.1574872
HD 221420 b,0,0.084725022,Jovian,Cold,,3082.9316,,22482,82.451159,20.1317,HD 221420,G,1.67,,5830,3.9325942
HD 221585 b,0,0.34456389,Jovian,Warm,,511.70308,,1173,212.6905,2.3234437,HD 221585,G,1.19,,5620,2.5928696
HD 222076 b,0,0.32408811,Jovian,Hot,,495.81168,,871,316.95178,1.835856,HD 222076,K,1.07,4.1,4806,8.0351026
HD 222155 b,0,0.17931363,Jovian,Cold,,673.79537,,3999,150.51256,5.205792,HD 222155,G,1.21,1.85,5701,3.2391888
HD 222582 b,0,0.39713063,Jovian,Warm,,2660.2204,,572.38,225.24678,1.697043,HD 222582,G,1.12,1.13,5790,1.2857596
HD 224538 b,0,0.37599226,Jovian,Warm,,1897.4332,,1189.1,217.72662,2.5254374,HD 224538,F,1.34,1.54,6097,2.9362624
HD 224693 b,0,0.073858537,Jovian,Hot,,222.4796,,26.6904,825.26749,0.19203293,HD 224693,G,1.31,1.93,5894,4.0275764
HD 22781 b,0,0.31969763,Jovian,Cold,,4338.3522,,528.07,164.78175,1.5584846,HD 22781,K,0.75,,5027,0.29483922
HD 23079 b,0,0.35125129,Jovian,Warm,,829.53109,,730.59998,215.19988,1.608,HD 23079,F,1.12,1.07,5974,1.306523
HD 23127 b,0,0.33440115,Jovian,Warm,,485.32336,,1211.17,202.01607,2.5653307,HD 23127,G,1.21,1.49,5843,2.3184873
HD 231701 b,0,0.16634374,Jovian,Hot,,359.14564,,141.63,441.27716,0.57179115,HD 231701,F,1.21,1.53,6101,2.9058662
HD 233604 b,0,0.080799712,Jovian,Hot,,2089.7191,,192,806.54436,0.74793375,HD 233604,K,1.5,10.9,4791,56.084949
HD 23596 b,0,0.31827987,Jovian,Warm,,2869.9869,,1561,196.94341,2.8709665,HD 23596,F,1.47,1.53,6040,2.7913819
HD 238914 b,0,0.30977109,Jovian,Hot,,1906.968,,4100,307.45307,6.59376,HD 238914,K,1.47,12.73,4769,75.10256
HD 240210 b,0,0.1099252,Jovian,Hot,,1655.8839,,501.75,568.51563,1.17305,HD 240210,K,0.82,,4297,33.5555
HD 240237 b,0,0.076073116,Jovian,Hot,,5050.287,,745.70001,1043.0526,2.0736,HD 240237,K,8.76,71.23,3926,1079.98
HD 24040 b,0,0.13779628,Jovian,Cold,,1226.8161,,3668,131.44391,4.923936,HD 24040,G,1.11,1.3,5802,1.7158774
HD 24064 b,0,0.076448725,Jovian,Hot,,4096.803,,535.59998,986.69295,1.3690125,HD 24064,K,1.61,40,4052,386.44383
HD 25015 b,0,0.082309189,Jovian,Cold,,1423.8695,,6019.32,82.461793,6.6607495,HD 25015,K,0.86,0.83,5160,0.43756607
HD 25171 b,0,0.23729462,Jovian,Cold,,290.81262,,1802.29,173.69066,2.9736204,HD 25171,F,1.08,1.23,6125,1.9077578
HD 2638 b,0,0.066038351,Jovian,Hot,,133.48776,,3.4442,1108.1116,0.04,HD 2638,G,0.77,0.94,5186,0.5726304
HD 2685 b,0,0.057259047,Jovian,Hot,,371.85876,16.1424,4.12688,1570.1918,0.05703518,HD 2685,F,1.43,1.56,6801,4.6647561
HD 26965 b,0,0.33604124,Superterran,Hot,,8.4701163,,42.378,445.61704,0.21910319,HD 26965,K,0.78,0.87,5072,0.44879099
HD 27442 b,0,0.36284752,Jovian,Hot,,495.81168,,428.1,291.17635,1.2732878,HD 27442,K,1.23,,4846,2.7588443
HD 27631 b,0,0.14200396,Jovian,Cold,,474.83504,,2198.14,134.53857,3.2742271,HD 27631,G,0.94,0.92,5737,0.82149268
HD 28185 b,0,0.39548298,Jovian,Warm,,1875.1852,,379,250.74803,1.021275,HD 28185,G,1.02,1.03,5662,0.97688301
HD 28254 b,0,0.38057687,Jovian,Warm,,368.68048,,1116,196.71242,2.8553075,HD 28254,G,1.06,1.48,5664,2.0197846
HD 285507 b,0,0.086454966,Jovian,Hot,,311.47144,,6.0881,672.74054,0.060243,HD 285507,K,0.82,0.69,4503,0.17538588
HD 285968 b,0,0.36162452,Superterran,Hot,,8.2635281,,8.7836,423.42954,0.066,HD 285968,M,0.45,0.45,3679,0.033237842
HD 28678 b,0,0.1253473,Jovian,Hot,,490.09078,,380.2,512.8478,1.1930986,HD 28678,G,1.53,6.48,4972,22.991279
HD 29021 b,0,0.18690295,Jovian,Cold,,762.78721,,1362.3,147.55743,2.5201763,HD 29021,G,0.85,0.85,5560,0.61862243
HD 290327 b,0,0.12971656,Jovian,Cold,,772.32205,,2443,127.64832,3.440976,HD 290327,G,0.84,0.95,5505,0.74261745
HD 2952 b,0,0.093172565,Jovian,Hot,,435.42436,,311.60001,630.83235,1.2403935,HD 2952,K,1.97,10.76,4844,57.11231
HD 30177 b,0,0.13761126,Jovian,Cold,,2740.313,,2527.83,129.47766,3.7526039,HD 30177,G,1.05,1.02,5607,0.92132152
HD 30177 c,0,0.080907945,Jovian,Cold,,2415.4928,,11613,79.125882,10.129338,HD 30177,G,1.05,1.02,5607,0.92132152
HD 30562 b,0,0.38329896,Jovian,Warm,,387.75016,,1157,205.83416,3.015792,HD 30562,F,1.12,1.61,5882,2.7799724
HD 30669 b,0,0.14692365,Jovian,Cold,,149.37916,,1684,138.15552,2.733578,HD 30669,G,0.92,0.91,5400,0.63087958
HD 30856 b,0,0.29909618,Jovian,Hot,,491.67992,,847,332.66655,1.8534419,HD 30856,K,1.17,4.4,4895,9.9587489
HD 31253 b,0,0.31304971,Jovian,Hot,,197.05336,,466,316.59751,1.3167,HD 31253,F,1.7,1.75,6130,3.8744195
HD 31527 b,0,0.22003268,Neptunian,Hot,,10.456541,,16.5535,720.80644,0.126027,HD 31527,G,0.96,,5898,1.0101334
HD 31527 c,0,0.25837329,Neptunian,Hot,,14.143346,,51.2053,494.89215,0.26651304,HD 31527,G,0.96,,5898,1.0101334
HD 31527 d,0,0.57816412,Neptunian,Warm,,11.823202,,271.6737,282.78912,0.83312224,HD 31527,G,0.96,,5898,1.0101334
HD 3167 b,0,0.27007174,Superterran,Hot,,,1.70392,0.959624,1666.4345,0.0186,HD 3167,K,0.94,0.87,5528,0.63328513
HD 3167 c,0,0.27919207,Neptunian,Hot,,,2.85855,29.83832,529.6852,0.1841,HD 3167,K,0.94,0.87,5528,0.63328513
HD 3167 d,0,0.24113308,Superterran,Hot,,6.9000459,,8.509,809.19162,0.082596536,HD 3167,K,0.94,0.87,5528,0.63328513
HD 32518 b,0,0.077139211,Jovian,Hot,,966.19713,,157.54,840.19341,0.5900295,HD 32518,K,1.13,10.22,4580,41.176777
HD 32963 b,0,0.14341535,Jovian,Cold,,222.4796,,2372,136.66767,3.4183545,HD 32963,G,0.94,,5727,0.96410654
HD 330075 b,0,0.067700366,Jovian,Hot,,152.55744,,3.38773,1009.9427,0.04,HD 330075,K,0.47,0.84,5000,0.39511838
HD 33142 b,0,0.16312243,Jovian,Hot,,440.19178,,326,447.34407,1.0723305,HD 33142,K,1.41,4.45,4978,10.895025
HD 33142 c,0,0.30522218,Jovian,Hot,,1897.4332,,834,331.92302,1.9464169,HD 33142,K,1.41,4.45,4978,10.895025
HD 33283 b,0,0.076285863,Jovian,Hot,,104.56541,,18.1991,935.73303,0.16280376,HD 33283,G,1.38,1.97,5935,4.3142369
HD 33564 b,0,0.25983045,Jovian,Hot,,2892.2348,,388,354.51838,1.16358,HD 33564,F,1.25,,6250,4.6743209
HD 33844 b,0,0.2140636,Jovian,Hot,,638.83429,,551.40002,392.70158,1.618,HD 33844,K,1.84,5.39,4861,14.533448
HD 33844 c,0,0.29924931,Jovian,Hot,,556.19901,,916,332.01082,2.258928,HD 33844,K,1.84,5.39,4861,14.533448
HD 34445 b,0,0.34271291,Jovian,Warm,,260.61896,,1049,210.5991,2.1454515,HD 34445,G,1.14,1.38,5879,2.0382651
HD 34445 c,0,0.30146845,Jovian,Hot,,53.395104,,214.67,359.19676,0.71856533,HD 34445,G,1.14,1.38,5879,2.0382651
HD 34445 d,0,0.24225472,Neptunian,Hot,,30.829316,,117.87,438.58314,0.48187558,HD 34445,G,1.14,1.38,5879,2.0382651
HD 34445 e,0,0.20866173,Neptunian,Hot,,16.813101,,49.175,586.95648,0.26978824,HD 34445,G,1.14,1.38,5879,2.0382651
HD 34445 f,0,0.46983575,Neptunian,Warm,,37.821532,,676.8,245.04792,1.5437414,HD 34445,G,1.14,1.38,5879,2.0382651
HD 34445 g,0,0.11622016,Jovian,Cold,,120.77464,,5700,120.69901,6.3632563,HD 34445,G,1.14,1.38,5879,2.0382651
HD 35759 b,0,0.13133459,Jovian,Hot,,1195.0333,,82.467,491.87485,0.41843193,HD 35759,G,1.15,,6060,2.187141
HD 3651 b,0,0.20396536,Jovian,Hot,,72.464785,,62.25,386.13234,0.35636369,HD 3651,K,0.8,,5221,0.51688414
HD 37605 b,0,0.15685495,Jovian,Hot,,854.95733,,55.01292,411.99249,0.34001061,HD 37605,K,0.94,0.91,5329,0.59834865
HD 37605 c,0,0.11154887,Jovian,Cold,,1013.8713,,2720,115.85726,3.741683,HD 37605,K,0.94,0.91,5329,0.59834865
HD 38283 b,0,0.30710128,Jovian,Hot,,127.1312,,363.20001,315.13779,1.105731,HD 38283,G,1.37,1.49,5981,2.5454021
HD 38529 b,0,0.067775362,Jovian,Hot,,253.30892,,14.30944,1080.8964,0.13447248,HD 38529,G,1.41,2.56,5541,5.5350453
HD 38529 c,0,0.3405196,Jovian,Warm,,4128.5858,,2136.1,203.29246,3.8512592,HD 38529,G,1.41,2.56,5541,5.5350453
HD 38801 b,0,0.39625205,Jovian,Warm,,3082.296,,685.25,263.13374,1.6232345,HD 38801,K,1.21,2.03,5338,2.9977472
HD 39091 b,0,0.23205937,Jovian,Cold,,3184.6366,,2093.07,154.01791,3.7289419,HD 39091,G,1.09,1.1,6037,1.4399875
HD 40307 b,0,0.27062747,Terran,Hot,,4.0046328,,4.3123,925.76462,0.047736,HD 40307,K,0.77,,4956,0.3857486
